60437-6422,New Amira,48052 Emiliano Crossing,0,Mississippi,Fri Dec 03 1982 15:36:56 GMT-0600 (Central Standard Time)
34941-3491,New Albinamouth,321 Norwood Drives,1,Indiana,Sat Jul 17 2010 09:28:09 GMT-0500 (Central Daylight Time)
06952,Nyamouth,0125 Gerda Prairie,2,Alaska,Wed Nov 01 1995 07:13:02 GMT-0500 (Central Daylight Time)
33115,Leuschkeberg,63436 Wilkinson Street,3,Illinois,Sat Jul 12 2003 15:43:19 GMT-0500 (Central Daylight Time)
51230-8023,East Cory,63714 Ebert Light,4,Oklahoma,Sun Oct 18 1981 07:25:53 GMT-0500 (Central Daylight Time)
25495-6182,Rodriguezshire,78045 Duncan Bypass,5,New Hampshire,Mon Jun 14 2004 13:17:37 GMT-0500 (Central Daylight Time)
40379,North Arvid,56792 Cleta Squares,6,Maine,Wed Sep 08 2010 13:12:39 GMT-0500 (Central Daylight Time)
11435,Horacefort,589 Jalyn Station,7,Hawaii,Fri Jan 22 1993 01:45:57 GMT-0600 (Central Standard Time)
92609,Port Waldo,88819 Schuppe Vista,8,Missouri,Thu Aug 14 1980 15:15:41 GMT-0500 (Central Daylight Time)
64017-3432,West Petra,861 Shanahan Fords,9,Idaho,Thu Aug 21 1997 14:36:33 GMT-0500 (Central Daylight Time)
33774,Gildamouth,124 Barton Courts,10,Maine,Thu Nov 03 2005 04:49:04 GMT-0500 (Central Daylight Time)
21007-6142,Wilmamouth,7498 Goldner Via,11,Colorado,Tue Apr 23 2002 15:53:41 GMT-0500 (Central Daylight Time)
11405-9268,Lurafort,4307 Nelle Flats,12,South Dakota,Sun Nov 20 2011 11:19:12 GMT-0600 (Central Standard Time)
63813-9072,Lake Brendenville,068 Ruecker Villages,13,Idaho,Sat Dec 21 1991 23:27:44 GMT-0600 (Central Standard Time)
02242-5733,New Marciamouth,79099 Kelton Trail,14,Texas,Thu Apr 30 1981 06:59:53 GMT-0500 (Central Daylight Time)
56968,Adahaven,334 Legros Extensions,15,Missouri,Sun Dec 10 2000 15:03:38 GMT-0600 (Central Standard Time)
00706,New Einoburgh,171 Barrows Mount,16,Iowa,Sun Jul 17 1994 07:39:04 GMT-0500 (Central Daylight Time)
08173-7927,South Nikolasview,2177 Melvin Point,17,Montana,Sun Nov 20 1988 05:21:35 GMT-0600 (Central Standard Time)
62426-1987,Imaniborough,3430 Jay Cliff,18,New Hampshire,Thu May 22 2003 14:16:51 GMT-0500 (Central Daylight Time)
98651,Port Celestineborough,3923 Nolan Loop,19,California,Mon Oct 28 1985 22:29:01 GMT-0500 (Central Daylight Time)
52153-3427,Bartolettiville,0119 Orin Plain,20,Indiana,Wed Dec 24 2008 12:10:09 GMT-0600 (Central Standard Time)
80034,Sipesview,0705 Samara Garden,21,Tennessee,Sat Oct 29 2005 00:29:08 GMT-0500 (Central Daylight Time)
95751,New Estrellaland,228 Runolfsson Ford,22,South Dakota,Thu Oct 07 2010 01:41:24 GMT-0500 (Central Daylight Time)
56946,North Robin,3214 Herzog Curve,23,Michigan,Tue Mar 08 1983 11:29:24 GMT-0600 (Central Standard Time)
88511,North Verdie,3523 Blick Village,24,Minnesota,Sun Apr 25 1993 22:28:44 GMT-0500 (Central Daylight Time)
69808,Flatleytown,249 Jace Manors,25,Massachusetts,Fri Feb 18 2011 05:51:56 GMT-0600 (Central Standard Time)
37131,Port Della,104 Geraldine Vista,26,Michigan,Tue Oct 17 1995 11:50:33 GMT-0500 (Central Daylight Time)
11645-9247,Faybury,812 River Plaza,27,Georgia,Thu Dec 01 1994 14:09:28 GMT-0600 (Central Standard Time)
80517-0998,Lake Uriah,6141 Luis Parks,28,Colorado,Sun Oct 03 1993 23:52:22 GMT-0500 (Central Daylight Time)
16667,Port Amaya,27343 Dave Streets,29,Pennsylvania,Mon Oct 11 2010 14:32:16 GMT-0500 (Central Daylight Time)
11446-3314,Vincetown,272 Auer Roads,30,Texas,Mon Mar 27 2006 11:27:48 GMT-0500 (Central Daylight Time)
84613,Kuhictown,523 Wolff Street,31,North Dakota,Tue Jan 09 2007 13:55:24 GMT-0600 (Central Standard Time)
39672-5619,Robelview,48184 Collins Rest,32,Minnesota,Fri Oct 05 1990 08:21:51 GMT-0500 (Central Daylight Time)
63366,New Guy,9995 Felton Lakes,33,Minnesota,Thu Feb 10 2005 19:37:19 GMT-0600 (Central Standard Time)
45917,West Quentin,280 Stark Groves,34,Mississippi,Sun Mar 03 1991 12:28:44 GMT-0600 (Central Standard Time)
70807-8611,Lake Rogermouth,48256 Wehner Squares,35,Mississippi,Mon Nov 08 1993 06:21:47 GMT-0600 (Central Standard Time)
83740-5392,Lake Ardellaberg,34350 Leuschke Garden,36,North Dakota,Tue Jul 27 2010 18:40:27 GMT-0500 (Central Daylight Time)
63476,New Katrina,0776 Wilma Plains,37,South Carolina,Fri Jun 06 1997 16:30:03 GMT-0500 (Central Daylight Time)
20319-8187,Arthurview,4912 Kailey Track,38,Pennsylvania,Wed Jan 27 1993 04:27:17 GMT-0600 (Central Standard Time)
76420,Sydniside,1072 Rippin Light,39,New Hampshire,Wed Jan 15 1986 00:44:48 GMT-0600 (Central Standard Time)
62731-4763,Lake Tommie,5718 Williamson Villages,40,Kentucky,Thu Jul 26 2001 23:36:38 GMT-0500 (Central Daylight Time)
88878-6370,Ericburgh,12930 Shakira Parks,41,California,Thu Oct 29 2009 06:27:32 GMT-0500 (Central Daylight Time)
